job_ref,region_code,region_name,patch_code,meter_type,job_type,status,requested_date,booked_date,completed_date,engineer_id,contacts_count,cancellation_reason,abort_reason,revenue_gbp,cost_gbp,is_forecast
IMSERV-2024-0012596,SCO,Scotland,SCO-P4,SMETS2,REMOVAL,Booked,2024-05-09,2024-04-22,,ENG-SCO-016,5,,,0,0,0
IMSERV-2024-0012597,SCO,Scotland,SCO-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-09,2024-05-04,2024-05-09,ENG-SCO-005,5,,,185.0,95.0,0
IMSERV-2024-0012598,SCO,Scotland,SCO-P2,SMETS2,REMOVAL,Completed,2024-05-09,2024-04-27,2024-05-09,ENG-SCO-021,1,,,90.0,48.0,0
IMSERV-2024-0012599,SCO,Scotland,SCO-P1,SMETS2,NEW_INSTALL,Completed,2024-05-09,2024-04-18,2024-05-09,ENG-SCO-010,1,,,185.0,95.0,0
IMSERV-2024-0012600,SCO,Scotland,SCO-P1,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-09,2024-04-27,2024-05-09,ENG-SCO-001,3,,,185.0,95.0,0
IMSERV-2024-0012601,SCO,Scotland,SCO-P4,SMETS1,EXCHANGE,Completed,2024-05-09,2024-05-05,2024-05-09,ENG-SCO-005,1,,,165.0,82.0,0
IMSERV-2024-0012602,SCO,Scotland,SCO-P3,SMETS2,EXCHANGE,Booked,2024-05-09,2024-04-27,,ENG-SCO-016,5,,,0,0,0
IMSERV-2024-0012603,YRK,Yorkshire,YRK-P1,SMETS1,NEW_INSTALL,Completed,2024-05-09,2024-04-24,2024-05-09,ENG-YRK-028,4,,,185.0,95.0,0
IMSERV-2024-0012604,YRK,Yorkshire,YRK-P5,SMETS1,EXCHANGE,Completed,2024-05-09,2024-04-29,2024-05-09,ENG-YRK-020,5,,,165.0,82.0,0
IMSERV-2024-0012605,YRK,Yorkshire,YRK-P2,SMETS1,NEW_INSTALL,Completed,2024-05-09,2024-04-18,2024-05-09,ENG-YRK-010,2,,,185.0,95.0,0
IMSERV-2024-0012606,YRK,Yorkshire,YRK-P5,IHD,NEW_INSTALL,Completed,2024-05-09,2024-05-03,2024-05-09,ENG-YRK-014,4,,,185.0,95.0,0
IMSERV-2024-0012607,YRK,Yorkshire,YRK-P2,SMETS1,REMOVAL,Completed,2024-05-09,2024-04-23,2024-05-09,ENG-YRK-033,4,,,90.0,48.0,0
IMSERV-2024-0012608,YRK,Yorkshire,YRK-P2,SMETS2,EXCHANGE,Completed,2024-05-09,2024-04-19,2024-05-09,ENG-YRK-028,2,,,165.0,82.0,0
IMSERV-2024-0012609,YRK,Yorkshire,YRK-P5,SMETS2,NEW_INSTALL,Completed,2024-05-09,2024-04-30,2024-05-09,ENG-YRK-031,4,,,185.0,95.0,0
IMSERV-2024-0012610,YRK,Yorkshire,YRK-P5,SMETS1,NEW_INSTALL,Completed,2024-05-09,2024-04-26,2024-05-09,ENG-YRK-029,2,,,185.0,95.0,0
IMSERV-2024-0012611,YRK,Yorkshire,YRK-P3,SMETS1,REMOVAL,Completed,2024-05-09,2024-04-30,2024-05-09,ENG-YRK-010,5,,,90.0,48.0,0
IMSERV-2024-0012612,YRK,Yorkshire,YRK-P3,SMETS2,REMOVAL,Completed,2024-05-09,2024-05-02,2024-05-09,ENG-YRK-018,4,,,90.0,48.0,0
IMSERV-2024-0012613,YRK,Yorkshire,YRK-P4,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-09,2024-05-03,2024-05-09,ENG-YRK-011,5,,,185.0,95.0,0
IMSERV-2024-0012614,YRK,Yorkshire,YRK-P2,SMETS2,NEW_INSTALL,Completed,2024-05-09,2024-04-19,2024-05-09,ENG-YRK-028,3,,,185.0,95.0,0
IMSERV-2024-0012615,YRK,Yorkshire,YRK-P4,SMETS2,NEW_INSTALL,Completed,2024-05-09,2024-04-24,2024-05-09,ENG-YRK-008,1,,,185.0,95.0,0
IMSERV-2024-0012616,YRK,Yorkshire,YRK-P5,SMETS2,EXCHANGE,Completed,2024-05-09,2024-04-18,2024-05-09,ENG-YRK-021,1,,,165.0,82.0,0
IMSERV-2024-0012617,NW,North West,NW-P5,SMETS2,REPAIR,Cancelled,2024-05-10,2024-04-29,,,2,No access to meter,,0,0,0
IMSERV-2024-0012618,NW,North West,NW-P2,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-19,2024-05-10,ENG-NW-016,5,,,165.0,82.0,0
IMSERV-2024-0012619,NW,North West,NW-P4,SMETS2_GAS,EXCHANGE,Booked,2024-05-10,2024-05-07,,ENG-NW-017,5,,,0,0,0
IMSERV-2024-0012620,NW,North West,NW-P5,SMETS2_GAS,EXCHANGE,Completed,2024-05-10,2024-04-21,2024-05-10,ENG-NW-010,5,,,165.0,82.0,0
IMSERV-2024-0012621,NW,North West,NW-P4,SMETS2_GAS,EXCHANGE,Completed,2024-05-10,2024-04-28,2024-05-10,ENG-NW-004,4,,,165.0,82.0,0
IMSERV-2024-0012622,NW,North West,NW-P4,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-28,2024-05-10,ENG-NW-020,3,,,165.0,82.0,0
IMSERV-2024-0012623,NW,North West,NW-P3,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-24,2024-05-10,ENG-NW-016,4,,,165.0,82.0,0
IMSERV-2024-0012624,NW,North West,NW-P6,SMETS2_GAS,EXCHANGE,Aborted,2024-05-10,2024-05-02,,ENG-NW-018,1,,Health & safety concern,0,82.0,0
IMSERV-2024-0012625,NW,North West,NW-P2,IHD,REMOVAL,Completed,2024-05-10,2024-04-24,2024-05-10,ENG-NW-002,2,,,90.0,48.0,0
IMSERV-2024-0012626,NW,North West,NW-P6,SMETS2,EXCHANGE,Cancelled,2024-05-10,2024-05-02,,,2,Work order error,,0,0,0
IMSERV-2024-0012627,NW,North West,NW-P1,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-05-05,2024-05-10,ENG-NW-025,1,,,185.0,95.0,0
IMSERV-2024-0012628,NW,North West,NW-P3,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-30,2024-05-10,ENG-NW-001,2,,,185.0,95.0,0
IMSERV-2024-0012629,NW,North West,NW-P1,SMETS1,NEW_INSTALL,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-NW-019,1,,,185.0,95.0,0
IMSERV-2024-0012630,NW,North West,NW-P4,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-30,2024-05-10,ENG-NW-021,1,,,185.0,95.0,0
IMSERV-2024-0012631,NW,North West,NW-P6,SMETS1,NEW_INSTALL,Completed,2024-05-10,2024-04-24,2024-05-10,ENG-NW-001,2,,,185.0,95.0,0
IMSERV-2024-0012632,NW,North West,NW-P4,SMETS2,EXCHANGE,Completed,2024-05-10,2024-05-07,2024-05-10,ENG-NW-007,1,,,165.0,82.0,0
IMSERV-2024-0012633,NW,North West,NW-P1,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-21,2024-05-10,ENG-NW-004,5,,,165.0,82.0,0
IMSERV-2024-0012634,NE,North East,NE-P5,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-05-01,2024-05-10,ENG-NE-013,2,,,185.0,95.0,0
IMSERV-2024-0012635,NE,North East,NE-P4,SMETS1,EXCHANGE,Booked,2024-05-10,2024-05-01,,ENG-NE-012,4,,,0,0,0
IMSERV-2024-0012636,NE,North East,NE-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-22,2024-05-10,ENG-NE-004,4,,,185.0,95.0,0
IMSERV-2024-0012637,NE,North East,NE-P3,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-23,2024-05-10,ENG-NE-015,1,,,165.0,82.0,0
IMSERV-2024-0012638,NE,North East,NE-P5,SMETS2,REPAIR,Booked,2024-05-10,2024-05-04,,ENG-NE-001,1,,,0,0,0
IMSERV-2024-0012639,NE,North East,NE-P5,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-21,2024-05-10,ENG-NE-016,5,,,185.0,95.0,0
IMSERV-2024-0012640,NE,North East,NE-P4,SMETS2,REPAIR,Booked,2024-05-10,2024-04-23,,ENG-NE-018,4,,,0,0,0
IMSERV-2024-0012641,NE,North East,NE-P2,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-30,2024-05-10,ENG-NE-007,5,,,185.0,95.0,0
IMSERV-2024-0012642,NE,North East,NE-P1,SMETS2,EXCHANGE,Booked,2024-05-10,2024-04-30,,ENG-NE-002,1,,,0,0,0
IMSERV-2024-0012643,NE,North East,NE-P3,SMETS2_GAS,EXCHANGE,Completed,2024-05-10,2024-04-28,2024-05-10,ENG-NE-003,1,,,165.0,82.0,0
IMSERV-2024-0012644,MID,Midlands,MID-P7,SMETS2_GAS,REPAIR,Booked,2024-05-10,2024-04-22,,ENG-MID-023,2,,,0,0,0
IMSERV-2024-0012645,MID,Midlands,MID-P7,SMETS1,EXCHANGE,Completed,2024-05-10,2024-05-06,2024-05-10,ENG-MID-021,4,,,165.0,82.0,0
IMSERV-2024-0012646,MID,Midlands,MID-P7,SMETS2,REPAIR,Cancelled,2024-05-10,2024-04-28,,,3,Customer refused,,0,0,0
IMSERV-2024-0012647,MID,Midlands,MID-P5,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-25,2024-05-10,ENG-MID-012,3,,,185.0,95.0,0
IMSERV-2024-0012648,MID,Midlands,MID-P2,SMETS1,REMOVAL,Completed,2024-05-10,2024-05-05,2024-05-10,ENG-MID-032,1,,,90.0,48.0,0
IMSERV-2024-0012649,MID,Midlands,MID-P5,SMETS2,NEW_INSTALL,Cancelled,2024-05-10,2024-05-04,,,3,No access to meter,,0,0,0
IMSERV-2024-0012650,MID,Midlands,MID-P4,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-21,2024-05-10,ENG-MID-037,2,,,185.0,95.0,0
IMSERV-2024-0012651,MID,Midlands,MID-P7,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-05-04,2024-05-10,ENG-MID-043,3,,,185.0,95.0,0
IMSERV-2024-0012652,MID,Midlands,MID-P2,SMETS2,NEW_INSTALL,Cancelled,2024-05-10,2024-04-27,,,4,Customer refused,,0,0,0
IMSERV-2024-0012653,MID,Midlands,MID-P7,SMETS2,EXCHANGE,Completed,2024-05-10,2024-05-02,2024-05-10,ENG-MID-042,1,,,165.0,82.0,0
IMSERV-2024-0012654,MID,Midlands,MID-P3,SMETS2,REPAIR,Completed,2024-05-10,2024-04-25,2024-05-10,ENG-MID-007,3,,,120.0,65.0,0
IMSERV-2024-0012655,MID,Midlands,MID-P3,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-MID-035,4,,,185.0,95.0,0
IMSERV-2024-0012656,MID,Midlands,MID-P7,SMETS2,EXCHANGE,Completed,2024-05-10,2024-05-07,2024-05-10,ENG-MID-012,1,,,165.0,82.0,0
IMSERV-2024-0012657,MID,Midlands,MID-P7,SMETS2_GAS,EXCHANGE,Booked,2024-05-10,2024-04-23,,ENG-MID-029,5,,,0,0,0
IMSERV-2024-0012658,MID,Midlands,MID-P4,SMETS2_GAS,NEW_INSTALL,Cancelled,2024-05-10,2024-05-01,,,5,Rescheduled by customer,,0,0,0
IMSERV-2024-0012659,MID,Midlands,MID-P1,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-22,2024-05-10,ENG-MID-015,1,,,165.0,82.0,0
IMSERV-2024-0012660,MID,Midlands,MID-P3,SMETS2,EXCHANGE,Completed,2024-05-10,2024-05-02,2024-05-10,ENG-MID-023,4,,,165.0,82.0,0
IMSERV-2024-0012661,MID,Midlands,MID-P4,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-26,2024-05-10,ENG-MID-027,4,,,165.0,82.0,0
IMSERV-2024-0012662,MID,Midlands,MID-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-19,2024-05-10,ENG-MID-038,3,,,185.0,95.0,0
IMSERV-2024-0012663,MID,Midlands,MID-P3,SMETS2,NEW_INSTALL,Cancelled,2024-05-10,2024-04-22,,,1,Safety concern,,0,0,0
IMSERV-2024-0012664,SE,South East,SE-P3,SMETS1,REPAIR,Cancelled,2024-05-10,2024-04-20,,,2,Customer refused,,0,0,0
IMSERV-2024-0012665,SE,South East,SE-P8,SMETS2,NEW_INSTALL,Cancelled,2024-05-10,2024-05-03,,,5,Work order error,,0,0,0
IMSERV-2024-0012666,SE,South East,SE-P8,SMETS1,NEW_INSTALL,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-SE-029,1,,,185.0,95.0,0
IMSERV-2024-0012667,SE,South East,SE-P6,IHD,EXCHANGE,Booked,2024-05-10,2024-04-26,,ENG-SE-003,2,,,0,0,0
IMSERV-2024-0012668,SE,South East,SE-P3,SMETS2_GAS,EXCHANGE,Cancelled,2024-05-10,2024-04-23,,,1,Customer not home,,0,0,0
IMSERV-2024-0012669,SE,South East,SE-P2,IHD,NEW_INSTALL,Completed,2024-05-10,2024-05-06,2024-05-10,ENG-SE-028,3,,,185.0,95.0,0
IMSERV-2024-0012670,SE,South East,SE-P5,SMETS1,EXCHANGE,Completed,2024-05-10,2024-04-24,2024-05-10,ENG-SE-007,5,,,165.0,82.0,0
IMSERV-2024-0012671,SE,South East,SE-P5,SMETS1,NEW_INSTALL,Completed,2024-05-10,2024-05-05,2024-05-10,ENG-SE-011,2,,,185.0,95.0,0
IMSERV-2024-0012672,SE,South East,SE-P3,SMETS1,REPAIR,Completed,2024-05-10,2024-05-01,2024-05-10,ENG-SE-023,4,,,120.0,65.0,0
IMSERV-2024-0012673,SE,South East,SE-P7,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-28,2024-05-10,ENG-SE-043,1,,,185.0,95.0,0
IMSERV-2024-0012674,SE,South East,SE-P1,SMETS2_GAS,EXCHANGE,Aborted,2024-05-10,2024-04-24,,ENG-SE-008,4,,Faulty meter location,0,82.0,0
IMSERV-2024-0012675,SE,South East,SE-P6,SMETS2_GAS,REPAIR,Completed,2024-05-10,2024-05-04,2024-05-10,ENG-SE-045,5,,,120.0,65.0,0
IMSERV-2024-0012676,SE,South East,SE-P3,IHD,NEW_INSTALL,Completed,2024-05-10,2024-04-20,2024-05-10,ENG-SE-035,5,,,185.0,95.0,0
IMSERV-2024-0012677,SE,South East,SE-P7,SMETS1,REPAIR,Aborted,2024-05-10,2024-05-02,,ENG-SE-047,5,,Parts not available,0,65.0,0
IMSERV-2024-0012678,SE,South East,SE-P1,SMETS2,EXCHANGE,Booked,2024-05-10,2024-04-22,,ENG-SE-011,5,,,0,0,0
IMSERV-2024-0012679,SE,South East,SE-P6,SMETS1,EXCHANGE,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-SE-043,5,,,165.0,82.0,0
IMSERV-2024-0012680,SE,South East,SE-P3,SMETS2_GAS,EXCHANGE,Aborted,2024-05-10,2024-04-19,,ENG-SE-039,2,,Safety hazard,0,82.0,0
IMSERV-2024-0012681,SE,South East,SE-P2,SMETS2,NEW_INSTALL,Aborted,2024-05-10,2024-05-04,,ENG-SE-011,5,,Health & safety concern,0,95.0,0
IMSERV-2024-0012682,SW,South West,SW-P2,SMETS2_GAS,REPAIR,Booked,2024-05-10,2024-04-29,,ENG-SW-021,2,,,0,0,0
IMSERV-2024-0012683,SW,South West,SW-P3,SMETS2,REPAIR,Completed,2024-05-10,2024-04-25,2024-05-10,ENG-SW-013,4,,,120.0,65.0,0
IMSERV-2024-0012684,SW,South West,SW-P1,SMETS2_GAS,REPAIR,Cancelled,2024-05-10,2024-05-02,,,5,Equipment fault,,0,0,0
IMSERV-2024-0012685,SW,South West,SW-P3,SMETS2_GAS,EXCHANGE,Completed,2024-05-10,2024-04-30,2024-05-10,ENG-SW-012,3,,,165.0,82.0,0
IMSERV-2024-0012686,SW,South West,SW-P2,SMETS2_GAS,REPAIR,Completed,2024-05-10,2024-04-23,2024-05-10,ENG-SW-020,1,,,120.0,65.0,0
IMSERV-2024-0012687,SW,South West,SW-P2,SMETS2_GAS,REMOVAL,Completed,2024-05-10,2024-05-01,2024-05-10,ENG-SW-021,2,,,90.0,48.0,0
IMSERV-2024-0012688,SW,South West,SW-P4,SMETS1,EXCHANGE,Completed,2024-05-10,2024-05-05,2024-05-10,ENG-SW-008,4,,,165.0,82.0,0
IMSERV-2024-0012689,SW,South West,SW-P3,SMETS2,REPAIR,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-SW-007,4,,,120.0,65.0,0
IMSERV-2024-0012690,SW,South West,SW-P2,SMETS1,EXCHANGE,Booked,2024-05-10,2024-04-25,,ENG-SW-012,4,,,0,0,0
IMSERV-2024-0012691,WAL,Wales,WAL-P1,SMETS2_GAS,REPAIR,Cancelled,2024-05-10,2024-04-25,,,2,Safety concern,,0,0,0
IMSERV-2024-0012692,WAL,Wales,WAL-P3,SMETS2,EXCHANGE,Completed,2024-05-10,2024-05-03,2024-05-10,ENG-WAL-015,1,,,165.0,82.0,0
IMSERV-2024-0012693,WAL,Wales,WAL-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-27,2024-05-10,ENG-WAL-014,4,,,185.0,95.0,0
IMSERV-2024-0012694,WAL,Wales,WAL-P3,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-22,2024-05-10,ENG-WAL-018,2,,,185.0,95.0,0
IMSERV-2024-0012695,WAL,Wales,WAL-P2,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-WAL-015,5,,,165.0,82.0,0
IMSERV-2024-0012696,WAL,Wales,WAL-P1,SMETS1,EXCHANGE,Completed,2024-05-10,2024-04-24,2024-05-10,ENG-WAL-011,4,,,165.0,82.0,0
IMSERV-2024-0012697,WAL,Wales,WAL-P1,SMETS1,EXCHANGE,Booked,2024-05-10,2024-04-26,,ENG-WAL-003,2,,,0,0,0
IMSERV-2024-0012698,SCO,Scotland,SCO-P3,IHD,NEW_INSTALL,Cancelled,2024-05-10,2024-04-22,,,1,Equipment fault,,0,0,0
IMSERV-2024-0012699,SCO,Scotland,SCO-P3,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-21,2024-05-10,ENG-SCO-006,4,,,165.0,82.0,0
IMSERV-2024-0012700,SCO,Scotland,SCO-P4,SMETS2,EXCHANGE,Completed,2024-05-10,2024-04-20,2024-05-10,ENG-SCO-016,3,,,165.0,82.0,0
IMSERV-2024-0012701,SCO,Scotland,SCO-P2,SMETS1,REPAIR,Completed,2024-05-10,2024-04-25,2024-05-10,ENG-SCO-010,5,,,120.0,65.0,0
IMSERV-2024-0012702,SCO,Scotland,SCO-P3,SMETS2,EXCHANGE,Completed,2024-05-10,2024-05-07,2024-05-10,ENG-SCO-003,4,,,165.0,82.0,0
IMSERV-2024-0012703,SCO,Scotland,SCO-P1,IHD,EXCHANGE,Completed,2024-05-10,2024-04-28,2024-05-10,ENG-SCO-004,4,,,165.0,82.0,0
IMSERV-2024-0012704,SCO,Scotland,SCO-P2,SMETS2,NEW_INSTALL,Aborted,2024-05-10,2024-04-25,,ENG-SCO-014,2,,No access,0,95.0,0
IMSERV-2024-0012705,SCO,Scotland,SCO-P1,SMETS1,REPAIR,Completed,2024-05-10,2024-05-05,2024-05-10,ENG-SCO-016,4,,,120.0,65.0,0
IMSERV-2024-0012706,SCO,Scotland,SCO-P3,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-05-02,2024-05-10,ENG-SCO-018,5,,,185.0,95.0,0
IMSERV-2024-0012707,SCO,Scotland,SCO-P2,SMETS1,EXCHANGE,Completed,2024-05-10,2024-04-19,2024-05-10,ENG-SCO-026,3,,,165.0,82.0,0
IMSERV-2024-0012708,YRK,Yorkshire,YRK-P4,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-05-02,2024-05-10,ENG-YRK-032,1,,,185.0,95.0,0
IMSERV-2024-0012709,YRK,Yorkshire,YRK-P3,SMETS1,NEW_INSTALL,Completed,2024-05-10,2024-04-28,2024-05-10,ENG-YRK-007,5,,,185.0,95.0,0
IMSERV-2024-0012710,YRK,Yorkshire,YRK-P4,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-30,2024-05-10,ENG-YRK-008,5,,,185.0,95.0,0
IMSERV-2024-0012711,YRK,Yorkshire,YRK-P1,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-05-04,2024-05-10,ENG-YRK-003,3,,,185.0,95.0,0
IMSERV-2024-0012712,YRK,Yorkshire,YRK-P4,SMETS2_GAS,NEW_INSTALL,Cancelled,2024-05-10,2024-05-06,,,3,Equipment fault,,0,0,0
IMSERV-2024-0012713,YRK,Yorkshire,YRK-P1,SMETS2,REPAIR,Completed,2024-05-10,2024-05-07,2024-05-10,ENG-YRK-023,2,,,120.0,65.0,0
IMSERV-2024-0012714,YRK,Yorkshire,YRK-P3,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-YRK-020,3,,,185.0,95.0,0
IMSERV-2024-0012715,YRK,Yorkshire,YRK-P5,SMETS2_GAS,EXCHANGE,Cancelled,2024-05-10,2024-05-01,,,3,Customer refused,,0,0,0
IMSERV-2024-0012716,YRK,Yorkshire,YRK-P4,SMETS2,REMOVAL,Completed,2024-05-10,2024-04-25,2024-05-10,ENG-YRK-029,3,,,90.0,48.0,0
IMSERV-2024-0012717,YRK,Yorkshire,YRK-P5,SMETS2,EXCHANGE,Cancelled,2024-05-10,2024-05-01,,,3,Equipment fault,,0,0,0
IMSERV-2024-0012718,YRK,Yorkshire,YRK-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-10,2024-04-30,2024-05-10,ENG-YRK-030,5,,,185.0,95.0,0
IMSERV-2024-0012719,YRK,Yorkshire,YRK-P3,IHD,EXCHANGE,Cancelled,2024-05-10,2024-04-30,,,5,Equipment fault,,0,0,0
IMSERV-2024-0012720,YRK,Yorkshire,YRK-P5,SMETS2,NEW_INSTALL,Completed,2024-05-10,2024-04-29,2024-05-10,ENG-YRK-019,1,,,185.0,95.0,0
IMSERV-2024-0012721,NW,North West,NW-P2,SMETS1,NEW_INSTALL,Booked,2024-05-11,2024-04-22,,ENG-NW-003,4,,,0,0,0
IMSERV-2024-0012722,NW,North West,NW-P2,SMETS1,EXCHANGE,Completed,2024-05-11,2024-05-02,2024-05-11,ENG-NW-036,4,,,165.0,82.0,0
IMSERV-2024-0012723,NW,North West,NW-P1,SMETS2,EXCHANGE,Completed,2024-05-11,2024-05-02,2024-05-11,ENG-NW-027,2,,,165.0,82.0,0
IMSERV-2024-0012724,NW,North West,NW-P2,SMETS1,NEW_INSTALL,Cancelled,2024-05-11,2024-04-28,,,4,Rescheduled by customer,,0,0,0
IMSERV-2024-0012725,NW,North West,NW-P3,SMETS2,EXCHANGE,Completed,2024-05-11,2024-05-06,2024-05-11,ENG-NW-033,5,,,165.0,82.0,0
IMSERV-2024-0012726,NW,North West,NW-P6,SMETS2,REPAIR,Completed,2024-05-11,2024-04-22,2024-05-11,ENG-NW-015,5,,,120.0,65.0,0
IMSERV-2024-0012727,NW,North West,NW-P6,SMETS2_GAS,EXCHANGE,Completed,2024-05-11,2024-05-03,2024-05-11,ENG-NW-018,1,,,165.0,82.0,0
IMSERV-2024-0012728,NW,North West,NW-P2,SMETS2_GAS,NEW_INSTALL,Completed,2024-05-11,2024-04-20,2024-05-11,ENG-NW-010,3,,,185.0,95.0,0
IMSERV-2024-0012729,NE,North East,NE-P1,SMETS1,EXCHANGE,Completed,2024-05-11,2024-04-22,2024-05-11,ENG-NE-009,2,,,165.0,82.0,0
IMSERV-2024-0012730,NE,North East,NE-P5,SMETS1,NEW_INSTALL,Completed,2024-05-11,2024-05-03,2024-05-11,ENG-NE-024,3,,,185.0,95.0,0
IMSERV-2024-0012731,NE,North East,NE-P5,SMETS2,EXCHANGE,Cancelled,2024-05-11,2024-04-26,,,5,Customer not home,,0,0,0
IMSERV-2024-0012732,NE,North East,NE-P1,SMETS1,NEW_INSTALL,Completed,2024-05-11,2024-04-25,2024-05-11,ENG-NE-014,2,,,185.0,95.0,0
IMSERV-2024-0012733,NE,North East,NE-P1,SMETS1,NEW_INSTALL,Cancelled,2024-05-11,2024-04-20,,,5,Work order error,,0,0,0
IMSERV-2024-0012734,MID,Midlands,MID-P2,SMETS2,REPAIR,Completed,2024-05-11,2024-05-06,2024-05-11,ENG-MID-040,4,,,120.0,65.0,0
IMSERV-2024-0012735,MID,Midlands,MID-P7,SMETS2,NEW_INSTALL,Completed,2024-05-11,2024-04-24,2024-05-11,ENG-MID-027,2,,,185.0,95.0,0
IMSERV-2024-0012736,MID,Midlands,MID-P2,SMETS1,REMOVAL,Completed,2024-05-11,2024-04-21,2024-05-11,ENG-MID-033,3,,,90.0,48.0,0
IMSERV-2024-0012737,MID,Midlands,MID-P5,SMETS2_GAS,EXCHANGE,Completed,2024-05-11,2024-05-08,2024-05-11,ENG-MID-030,2,,,165.0,82.0,0
IMSERV-2024-0012738,MID,Midlands,MID-P4,SMETS2,EXCHANGE,Completed,2024-05-11,2024-04-30,2024-05-11,ENG-MID-023,2,,,165.0,82.0,0
IMSERV-2024-0012739,MID,Midlands,MID-P7,SMETS1,NEW_INSTALL,Completed,2024-05-11,2024-05-08,2024-05-11,ENG-MID-011,4,,,185.0,95.0,0
IMSERV-2024-0012740,MID,Midlands,MID-P1,SMETS2,NEW_INSTALL,Aborted,2024-05-11,2024-05-08,,ENG-MID-023,5,,Parts not available,0,95.0,0
IMSERV-2024-0012741,MID,Midlands,MID-P4,SMETS2,NEW_INSTALL,Completed,2024-05-11,2024-04-27,2024-05-11,ENG-MID-013,4,,,185.0,95.0,0
IMSERV-2024-0012742,MID,Midlands,MID-P4,SMETS2,EXCHANGE,Booked,2024-05-11,2024-05-04,,ENG-MID-014,3,,,0,0,0
IMSERV-2024-0012743,SE,South East,SE-P6,SMETS2_GAS,NEW_INSTALL,Booked,2024-05-11,2024-05-01,,ENG-SE-006,3,,,0,0,0
IMSERV-2024-0012744,SE,South East,SE-P4,SMETS2_GAS,EXCHANGE,Cancelled,2024-05-11,2024-05-08,,,1,Equipment fault,,0,0,0
IMSERV-2024-0012745,SE,South East,SE-P2,SMETS2_GAS,EXCHANGE,Completed,2024-05-11,2024-05-02,2024-05-11,ENG-SE-046,5,,,165.0,82.0,0
IMSERV-2024-0012746,SE,South East,SE-P7,SMETS2_GAS,EXCHANGE,Cancelled,2024-05-11,2024-05-07,,,4,Equipment fault,,0,0,0
IMSERV-2024-0012747,SE,South East,SE-P7,IHD,REPAIR,Completed,2024-05-11,2024-04-21,2024-05-11,ENG-SE-002,1,,,120.0,65.0,0
IMSERV-2024-0012748,SE,South East,SE-P4,SMETS2,EXCHANGE,Completed,2024-05-11,2024-05-02,2024-05-11,ENG-SE-016,5,,,165.0,82.0,0
IMSERV-2024-0012749,SE,South East,SE-P2,SMETS2_GAS,NEW_INSTALL,Booked,2024-05-11,2024-04-26,,ENG-SE-006,2,,,0,0,0
IMSERV-2024-0012750,SE,South East,SE-P4,SMETS1,NEW_INSTALL,Completed,2024-05-11,2024-04-20,2024-05-11,ENG-SE-051,3,,,185.0,95.0,0
IMSERV-2024-0012751,SW,South West,SW-P2,SMETS1,EXCHANGE,Completed,2024-05-11,2024-05-06,2024-05-11,ENG-SW-004,5,,,165.0,82.0,0
IMSERV-2024-0012752,SW,South West,SW-P4,SMETS2_GAS,EXCHANGE,Completed,2024-05-11,2024-04-29,2024-05-11,ENG-SW-004,4,,,165.0,82.0,0
IMSERV-2024-0012753,SW,South West,SW-P4,SMETS2,EXCHANGE,Completed,2024-05-11,2024-05-01,2024-05-11,ENG-SW-016,5,,,165.0,82.0,0
